Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	0.92	1.02	0.1	117.1875	433.59375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	0.92	5047.200418195313.wav	NN	NA	BlobDetector	0.759097355837637
2	Spectrogram 1	1	0.94	1.01	0.07	0	35.15625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	0.94	5047.200418195313.wav	NN	NA	BlobDetector	0.83353043560895
3	Spectrogram 1	1	5.75	5.99	0.24	0	480.46875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	5.75	5047.200418195313.wav	NN	NA	BlobDetector	0.663137220584703
4	Spectrogram 1	1	6.16	6.28	0.12	0	421.875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	6.16	5047.200418195313.wav	NN	NA	BlobDetector	0.509309640831402
5	Spectrogram 1	1	7.99	8.09	0.0999999999999996	70.3125	375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	7.99	5047.200418195313.wav	NN	NA	BlobDetector	0.566414124384537
6	Spectrogram 1	1	9.35	9.44	0.0899999999999999	0	175.78125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	9.35	5047.200418195313.wav	FS	NA	BlobDetector	0.6165990973362
7	Spectrogram 1	1	10.42	10.55	0.130000000000001	0	328.125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	10.42	5047.200418195313.wav	NN	NA	BlobDetector	0.663851252663539
8	Spectrogram 1	1	10.59	10.7	0.110000000000001	0	457.03125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	10.59	5047.200418195313.wav	NN	NA	BlobDetector	0.725830641423917
9	Spectrogram 1	1	10.87	11.02	0.149999999999999	0	339.84375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	10.87	5047.200418195313.wav	NN	NA	BlobDetector	0.739241429454146
10	Spectrogram 1	1	14.42	14.88	0.460000000000001	0	292.96875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	14.42	5047.200418195313.wav	NN	NA	BlobDetector	0.768052193295625
11	Spectrogram 1	1	17.05	17.15	0.100000000000001	0	234.375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	17.05	5047.200418195313.wav	NN	NA	BlobDetector	0.512565354941112
12	Spectrogram 1	1	18.95	19.18	0.23	0	421.875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	18.95	5047.200418195313.wav	NN	NA	BlobDetector	0.686250489819628
13	Spectrogram 1	1	20.63	20.74	0.110000000000003	0	339.84375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	20.63	5047.200418195313.wav	FS	NA	BlobDetector	0.533995276507989
14	Spectrogram 1	1	21.43	21.54	0.109999999999999	0	328.125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	21.43	5047.200418195313.wav	NN	NA	BlobDetector	0.647772199838306
15	Spectrogram 1	1	22.21	22.32	0.109999999999999	0	328.125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	22.21	5047.200418195313.wav	NN	NA	BlobDetector	0.720319355720936
16	Spectrogram 1	1	23.15	23.26	0.109999999999999	0	339.84375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	23.15	5047.200418195313.wav	NN	NA	BlobDetector	0.584329697074436
17	Spectrogram 1	1	23.89	24	0.109999999999999	0	363.28125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	23.89	5047.200418195313.wav	NN	NA	BlobDetector	0.699019576321863
18	Spectrogram 1	1	24.42	24.53	0.109999999999999	0	410.15625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	24.42	5047.200418195313.wav	NN	NA	BlobDetector	0.599974325568681
19	Spectrogram 1	1	26.81	26.96	0.149999999999999	0	398.4375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	26.81	5047.200418195313.wav	NN	NA	BlobDetector	0.853912993265296
20	Spectrogram 1	1	27.82	27.91	0.0899999999999999	820.3125	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	27.82	5047.200418195313.wav	NN	NA	BlobDetector	0.99955223880597
21	Spectrogram 1	1	33.52	33.64	0.119999999999997	0	457.03125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	33.52	5047.200418195313.wav	NN	NA	BlobDetector	0.516277502222126
22	Spectrogram 1	1	34.59	34.7	0.109999999999999	140.625	550.78125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	34.59	5047.200418195313.wav	NN	NA	BlobDetector	0.819220828735343
23	Spectrogram 1	1	34.69	34.81	0.120000000000005	0	199.21875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	34.69	5047.200418195313.wav	NN	NA	BlobDetector	0.854341096741426
24	Spectrogram 1	1	34.95	35.08	0.129999999999995	0	328.125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	34.95	5047.200418195313.wav	NN	NA	BlobDetector	0.648331125727208
25	Spectrogram 1	1	36.1	36.22	0.119999999999997	0	363.28125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	36.1	5047.200418195313.wav	NN	NA	BlobDetector	0.66852020659817
26	Spectrogram 1	1	37.15	37.25	0.100000000000001	0	234.375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	37.15	5047.200418195313.wav	NN	NA	BlobDetector	0.622813417083156
27	Spectrogram 1	1	39.62	39.73	0.110000000000007	23.4375	445.3125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	39.62	5047.200418195313.wav	FS	NA	BlobDetector	0.67419926680179
